Year,D1,D10,D101,D102,D11,D111,D112,D113,D114,D12,D121,D122,D123,D124,D131,D132,D133,D134,D141,D142,D143,D15,D151,D152,D153,D16,D163,D164,D17,D171,D172,D173,D18,D181,D182,D191,D192,D2,D21,D22,D23,D24,D3,D31,D32,D33,D34,D35,D36,D4,D41,D43,D44,D45,D46,D47,D48,D49,D5,D51,D52,D6,D61,D62,D7,D71,D72,D73,D74,D75,D76,D8,D81,D82,D83,D9,D91,D92
2005,4.941215856,2.455156499,1.642717981,1.633734958,1.272656155,1.471363232,1.839082779,1.685488736,1.636211244,1.810895437,1.430014348,1.305533729,1.627805449,1.519192363,1.816072606,2.319569434,1.538951389,1.983535234,2.439586944,2.982509293,3.9190275,2.303041146,1.977067523,1.821108405,2.223535014,1.93196507,1.80847637,2.064702318,2.489896296,2.092931473,1.617068397,1.78393477,2.736265765,1.239683122,1.757372867,1.917383372,1.672266109,4.694679142,1.316372704,1.352876201,1.505972735,1.940344579,4.147792057,3.022149264,4.142370361,2.709992194,1.883989319,2.61735518,2.007612586,4.958005583,3.299060005,3.083516211,2.25798107,2.08388098,2.813145996,1.236021538,1.935837807,1.934287576,1.165224766,2.237111642,1.877287335,2.534924209,3.136074438,3.011929995,1.435958117,2.742880492,2.407146044,2.476952547,2.373625033,2.525737786,2.58348833,1.787622523,2.270779139,2.359592297,2.150183734,1.063513376,2.612596279,2.032351269
2015,4.941215856,2.455156499,1.642717981,1.633734958,1.272656155,1.471363232,1.839082779,1.685488736,1.636211244,1.810895437,1.430014348,1.305533729,1.627805449,1.519192363,1.816072606,2.319569434,1.538951389,1.983535234,2.439586944,2.982509293,3.9190275,2.303041146,1.977067523,1.821108405,2.223535014,1.93196507,1.80847637,2.064702318,2.489896296,2.092931473,1.617068397,1.78393477,2.736265765,1.239683122,1.757372867,1.917383372,1.672266109,4.694679142,1.316372704,1.352876201,1.505972735,1.940344579,4.147792057,3.022149264,4.142370361,2.709992194,1.883989319,2.61735518,2.007612586,4.958005583,3.299060005,3.083516211,2.25798107,2.08388098,2.813145996,1.236021538,1.935837807,1.934287576,1.165224766,2.237111642,1.877287335,2.534924209,3.136074438,3.011929995,1.435958117,2.742880492,2.407146044,2.476952547,2.373625033,2.525737786,2.58348833,1.787622523,2.270779139,2.359592297,2.150183734,1.063513376,2.612596279,2.032351269
2038,4.941215856,2.455156499,1.642717981,1.633734958,1.272656155,1.471363232,1.839082779,1.685488736,1.636211244,1.810895437,1.430014348,1.305533729,1.627805449,1.519192363,1.816072606,2.319569434,1.538951389,1.983535234,2.439586944,2.982509293,3.9190275,2.303041146,1.977067523,1.821108405,2.223535014,1.93196507,1.80847637,2.064702318,2.489896296,2.092931473,1.617068397,1.78393477,2.736265765,1.239683122,1.757372867,1.917383372,1.672266109,4.694679142,1.316372704,1.352876201,1.505972735,1.940344579,4.147792057,3.022149264,4.142370361,2.709992194,1.883989319,2.61735518,2.007612586,4.958005583,3.299060005,3.083516211,2.25798107,2.08388098,2.813145996,1.236021538,1.935837807,1.934287576,1.165224766,2.237111642,1.877287335,2.534924209,3.136074438,3.011929995,1.435958117,2.742880492,2.407146044,2.476952547,2.373625033,2.525737786,2.58348833,1.787622523,2.270779139,2.359592297,2.150183734,1.063513376,2.612596279,2.032351269
2050,4.941215856,2.455156499,1.642717981,1.633734958,1.272656155,1.471363232,1.839082779,1.685488736,1.636211244,1.810895437,1.430014348,1.305533729,1.627805449,1.519192363,1.816072606,2.319569434,1.538951389,1.983535234,2.439586944,2.982509293,3.9190275,2.303041146,1.977067523,1.821108405,2.223535014,1.93196507,1.80847637,2.064702318,2.489896296,2.092931473,1.617068397,1.78393477,2.736265765,1.239683122,1.757372867,1.917383372,1.672266109,4.694679142,1.316372704,1.352876201,1.505972735,1.940344579,4.147792057,3.022149264,4.142370361,2.709992194,1.883989319,2.61735518,2.007612586,4.958005583,3.299060005,3.083516211,2.25798107,2.08388098,2.813145996,1.236021538,1.935837807,1.934287576,1.165224766,2.237111642,1.877287335,2.534924209,3.136074438,3.011929995,1.435958117,2.742880492,2.407146044,2.476952547,2.373625033,2.525737786,2.58348833,1.787622523,2.270779139,2.359592297,2.150183734,1.063513376,2.612596279,2.032351269
