Value,Area,2005,2010,2038,2050,CostDataYear
Age0to14,RVMPO,10000,10000,10000,10000,2005
Age15to19,RVMPO,10000,10000,10000,10000,2005
Age20to29,RVMPO,15000,15000,15000,15000,2005
Age30to54,RVMPO,15000,15000,15000,15000,2005
Age55to64,RVMPO,10000,10000,10000,10000,2005
Age65Plus,RVMPO,10000,10000,10000,10000,2005
