"District","Type","A24","A5P","SFA","SFD","MH"
"01_01_EP_NW","Metropolitan",-6,-1,-6,-29,-8
"01_01_EP_NW","Town",0,0,0,0,0
"01_01_EP_NW","Rural",0,0,0,-10,-8
"02_02_WC_Ctr","Metropolitan",-1,-2,-3,-31,-7
"02_02_WC_Ctr","Town",0,0,0,0,0
"02_02_WC_Ctr","Rural",-3,0,0,-12,-3
"03_03_CP_W","Metropolitan",-1,0,-3,-33,-34
"03_03_CP_W","Town",0,0,0,0,0
"03_03_CP_W","Rural",0,-1,-1,-5,-5
"04_04_JACK","Metropolitan",0,0,-1,-9,-2
"04_04_JACK","Town",0,0,0,0,0
"04_04_JACK","Rural",0,0,0,-30,-8
"05_05_WMED_NE","Metropolitan",-2,-6,-5,-35,-4
"05_05_WMED_NE","Town",0,0,0,0,0
"05_05_WMED_NE","Rural",0,0,0,-13,-2
"06_06_EMED_NE","Metropolitan",0,0,0,-17,-2
"06_06_EMED_NE","Town",0,0,0,0,0
"06_06_EMED_NE","Rural",0,0,0,-14,-4
"07_07_PHX_Ctr","Metropolitan",-7,-3,-3,-50,-2
"07_07_PHX_Ctr","Town",0,0,0,0,0
"07_07_PHX_Ctr","Rural",0,0,0,-1,0
"08_08_TAL_Ctr","Metropolitan",-2,-2,-9,-57,-4
"08_08_TAL_Ctr","Town",0,0,0,0,0
"08_08_TAL_Ctr","Rural",0,0,0,0,0
"09_09_ASH_N","Metropolitan",-3,-4,0,-19,-7
"09_09_ASH_N","Town",0,0,0,0,0
"09_09_ASH_N","Rural",0,0,0,-29,-5
"10_10_TOLO","Metropolitan",-8,-21,-6,-53,-9
"10_10_TOLO","Town",0,0,0,0,0
"10_10_TOLO","Rural",0,0,0,0,0
"11_11_NMED_N","Metropolitan",-1,-1,-4,-48,-11
"11_11_NMED_N","Town",0,0,0,0,0
"11_11_NMED_N","Rural",0,0,0,-3,-1
"09_12_ASH_Ctr","Metropolitan",-11,-17,-16,-42,-3
"09_12_ASH_Ctr","Town",0,0,0,0,0
"09_12_ASH_Ctr","Rural",0,0,0,0,0
"03_13_CP_E","Metropolitan",-4,-8,0,-25,-3
"03_13_CP_E","Town",0,0,0,0,0
"03_13_CP_E","Rural",-1,-8,0,-26,-2
"05_14_WMED_SE","Metropolitan",-7,-7,-1,-37,-3
"05_14_WMED_SE","Town",0,0,0,0,0
"05_14_WMED_SE","Rural",0,0,0,0,0
"05_15_WMED_E","Metropolitan",0,0,-4,-62,-14
"05_15_WMED_E","Town",0,0,0,0,0
"05_15_WMED_E","Rural",0,0,0,-13,-5
"06_16_EMED_NW","Metropolitan",-6,-3,-6,-51,0
"06_16_EMED_NW","Town",0,0,0,0,0
"06_16_EMED_NW","Rural",0,0,0,0,0
"06_17_EMED_SW","Metropolitan",0,0,0,0,0
"06_17_EMED_SW","Town",0,0,0,0,0
"06_17_EMED_SW","Rural",0,0,0,-46,-1
"11_18_NMED_SW","Metropolitan",-31,-59,-7,-52,0
"11_18_NMED_SW","Town",0,0,0,0,0
"11_18_NMED_SW","Rural",0,0,0,0,0
"09_19_ASH_SW","Metropolitan",-12,-42,-10,-43,0
"09_19_ASH_SW","Town",0,0,0,0,0
"09_19_ASH_SW","Rural",0,0,0,0,0
"06_20_EMED_N","Metropolitan",-1,-2,-1,-110,0
"06_20_EMED_N","Town",0,0,0,0,0
"06_20_EMED_N","Rural",0,0,0,0,0
"01_21_EP_SE","Metropolitan",0,-6,-2,-37,0
"01_21_EP_SE","Town",0,0,0,0,0
"01_21_EP_SE","Rural",0,0,0,0,0
"02_22_WC_S","Metropolitan",0,0,0,0,0
"02_22_WC_S","Town",0,0,0,0,0
"02_22_WC_S","Rural",0,0,-5,-24,0
"06_23_EMED_Ctr","Metropolitan",-7,-14,-4,-69,-3
"06_23_EMED_Ctr","Town",0,0,0,0,0
