Year,Auto,LtTruck,Truck,Bus,CommAuto,CommLtTruck
1990,1,1,1,1,1,1
1995,1,1,1,1,1,1
2000,1,1,1,1,1,1
2005,1,1,1,1,1,1
2010,1,1,1,1,1,1
2015,0.95,0.95,1,1,0.95,0.95
2020,0.9,0.9,1,1,0.9,0.9
2025,0.85,0.85,1,1,0.85,0.85
2030,0.8,0.8,1,1,0.8,0.8
2035,0.75,0.75,1,1,0.75,0.75
2038,0.74,0.74,1,1,0.74,0.74
2040,0.73,0.73,1,1,0.73,0.73
2045,0.73,0.73,1,1,0.73,0.73
2050,0.73,0.73,1,1,0.73,0.73
