Value,Area,2005,2010,2038,2050
PropWrkPkg,RVMPO,1,1,1,1
PropWrkChrgd,RVMPO,0.0059,0.0059,0.0064,0.0064
PropCashOut,RVMPO,0,0,0,0
PropOthChrgd,RVMPO,0.0038,0.0038,0.0038,0.0038
PkgCost,RVMPO,3.14,3.14,7,7
