Value,Area,2005,2010,2038,2050
Ramp,RVMPO,0,0,0,0
Incident,RVMPO,0,0.2,0.7,0.7
Signal,RVMPO,0.35,0.35,0.4,0.4
Access,RVMPO,0,0,0.15,0.2
