"PopGroupQtr.05_27_WMED_Ctr",0,0,0,"Population in group quarters in MPO boundary"
"PopGroupQtr.06_28_EMED_SE",0,0,0,"Population in group quarters in MPO boundary"
"PopGroupQtr.07_29_PHX_W",0,0,0,"Population in group quarters in MPO boundary"
"PopGroupQtr.07_30_PHX_E",0,0,0,"Population in group quarters in MPO boundary"
"PopGroupQtr.09_31_ASH_CtrE",3,4,7,"Population in group quarters in MPO boundary"
"PopGroupQtr.11_32_NMED_SE",0,0,0,"Population in group quarters in MPO boundary"
"PopGroupQtr.08_33_TAL_E",0,0,0,"Population in group quarters in MPO boundary"
"PopGroupQtr.08_34_TAL_W",0,0,0,"Population in group quarters in MPO boundary"
"PopGroupQtr.09_35_ASH_E",0,0,0,"Population in group quarters in MPO boundary"
"PopGroupQtr.09_36_ASH_NW",0,0,0,"Population in group quarters in MPO boundary"
"PopGroupQtr.05_37_WMED_SW",0,0,0,"Population in group quarters in MPO boundary"
"PopGroupQtr.05_38_WMED_ESE",0,0,0,"Population in group quarters in MPO boundary"
"PopGroupQtr.06_39_EMED_W",0,0,0,"Population in group quarters in MPO boundary"
"IncomeCapHousehold.01_01_EP_NW",22007.0821903562,24592.118843233,25301.934495598,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.02_02_WC_Ctr",11614.355748703,20446.1324382437,15162.4025097175,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.03_03_CP_W",30826.4817407741,29369.161972393,34253.4045085285,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.04_04_JACK",37154.1928245601,36390.6122975479,42166.3301976447,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.05_05_WMED_NE",11676.963282767,18842.9037231777,14202.3494181296,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.06_06_EMED_NE",40451.927730227,39684.8243796328,44839.8560637158,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.07_07_PHX_Ctr",21790.1940068074,21841.4669131938,25791.6132525073,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.08_08_TAL_Ctr",20225.2053746003,20625.887344702,23658.3962398889,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.09_09_ASH_N",39639.6808715415,40649.0006059407,44621.213095394,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.10_10_TOLO",27839.7740382443,23968.7510048982,33895.3713902534,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.11_11_NMED_N",26760.8978219151,27899.5518031715,29748.5755021682,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.09_12_ASH_Ctr",25020.3510004889,25871.2885173817,28094.8155571676,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.03_13_CP_E",23347.1869757338,22832.5459423514,27796.9078361762,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.05_14_WMED_SE",26748.601410052,24916.1026705946,31232.1467541191,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.05_15_WMED_E",6909.5011414537,12136.734711086,8692.9890046308,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.06_16_EMED_NW",13664.3075567363,18631.0302439928,16253.8700931346,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.06_17_EMED_SW",31520.6203587144,32336.5916762604,35862.5615055223,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.11_18_NMED_SW",19751.161669831,22784.7074203618,22192.9381199514,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.09_19_ASH_SW",39697.3491819891,38670.6730521233,44635.6412020197,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.06_20_EMED_N",31276.485718001,29067.8862326061,35581.661958399,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.01_21_EP_SE",25350.8861079934,26119.7233892063,30472.2854964305,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.02_22_WC_S",14784.3187116842,22287.4502004659,18987.6270387003,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.06_23_EMED_Ctr",39402.4265420042,43092.4869738682,43881.7121728558,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.03_24_CP_N",21838.4086279774,23393.4312811875,25810.5816364337,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.03_25_CP_S",21522.5276351002,20922.8007986533,25383.1632704119,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.05_26_WMED_NW",34161.1419530139,32610.7428588654,38805.0680143569,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.05_27_WMED_Ctr",18962.7386737278,23148.0775312437,22747.3689847491,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.06_28_EMED_SE",45289.679662822,47456.5717747892,50573.9129184475,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.07_29_PHX_W",33827.6544014413,32227.7948614921,38697.4290986488,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.07_30_PHX_E",32518.5980551766,32343.4908300175,35960.4700023711,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.09_31_ASH_CtrE",33923.1341922308,33158.3495393693,37585.7909250683,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.11_32_NMED_SE",26641.5056732779,25320.2525324268,31059.4359800875,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.08_33_TAL_E",34086.9304984777,33379.5833717556,37424.4712299176,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.08_34_TAL_W",34594.1536892817,35260.208513566,39027.1187622646,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.09_35_ASH_E",39242.4172726174,38795.4969770157,43879.3489612178,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.09_36_ASH_NW",36447.6298216575,34801.5758306198,39794.7767723181,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.05_37_WMED_SW",29557.9980146913,27152.6962633773,33135.1227715085,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.05_38_WMED_ESE",9296.68670261899,15434.2690307071,11494.1378482406,"Average annual per capita income of MPO households in 2005 dollars"
"IncomeCapHousehold.06_39_EMED_W",29823.2503072979,28824.4978155255,32984.3691999668,"Average annual per capita income of MPO households in 2005 dollars"
"DvmtCapHousehold.01_01_EP_NW",20.9265778501259,20.8698842354708,20.0856084981277,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.02_02_WC_Ctr",13.2042025417608,18.4726167412026,14.9165837814574,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.03_03_CP_W",24.9843712380138,23.3950017312259,24.2754028886613,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.04_04_JACK",28.1275664466106,26.9632722214982,27.8444393589828,"Average Percapita DVMT of MPO households"
"DvmtCapHousehold.05_05_WMED_NE",13.4373986204167,17.2347413134505,14.593545498701,"Average Percapita DVMT of MPO households"
