Value,Area,2005,2010,2038,2050,CostDataYear
PropWrkPkg,RVMPO,1,1,1,1,NA
PropWrkChrgd,RVMPO,0.0059,0.0059,0.0064,0.0064,NA
PropCashOut,RVMPO,0,0,0,0,NA
PropOthChrgd,RVMPO,0.0038,0.0038,0.0038,0.0038,NA
PkgCost,RVMPO,3.14,3.14,7,7,2005
