Year,PropGas,PropCng,GasPropEth,DieselPropBio
1990,0.05,0.001,0.001,0.001
1995,0.05,0.001,0.001,0.001
2000,0.05,0.001,0.001,0.001
2005,0.05,0.009,0.1,0.01
2010,0.05,0.009,0.1,0.05
2015,0.05,0.009,0.1,0.05
2020,0.05,0.02,0.1,0.05
2025,0.05,0.02,0.1,0.05
2030,0.05,0.03,0.1,0.05
2035,0.05,0.04,0.1,0.05
2038,0.05,0.044,0.1,0.05
2040,0.05,0.05,0.1,0.05
2045,0.05,0.05,0.1,0.05
2050,0.05,0.06,0.1,0.05
