Value,Area,2005,2015,2038,2050,CostDataYear
PropOthChrgd,D6,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D61,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D62,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D7,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D71,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D72,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D73,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D74,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D75,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D76,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D8,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D81,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D82,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D83,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D9,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D91,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropOthChrgd,D92,0.074699283,0.002838573,0.002838573,0.149398566,2015
PropWrkChrgd,D1,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D10,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D101,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D102,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D11,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D111,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D112,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D113,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D114,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D12,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D121,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D122,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D123,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D124,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D131,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D132,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D133,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D134,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D141,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D142,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D143,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D15,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D151,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D152,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D153,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D16,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D163,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D164,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D17,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D171,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D172,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D173,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D18,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D181,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D182,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D191,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D192,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D2,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D21,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D22,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D23,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D24,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D3,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D31,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D32,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D33,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D34,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D35,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D36,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D4,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D41,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D43,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D44,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D45,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D46,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D47,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D48,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D49,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D5,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D51,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D52,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D6,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D61,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D62,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D7,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D71,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D72,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D73,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D74,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D75,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D76,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D8,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D81,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D82,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D83,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D9,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D91,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkChrgd,D92,0.119518853,0.004407258,0.004780754,0.298797133,2015
PropWrkPkg,D1,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D10,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D101,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D102,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D11,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D111,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D112,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D113,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D114,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D12,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D121,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D122,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D123,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D124,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D131,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D132,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D133,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D134,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D141,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D142,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D143,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D15,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D151,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D152,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D153,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D16,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D163,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D164,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D17,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D171,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D172,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D173,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D18,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D181,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D182,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D191,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D192,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D2,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D21,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D22,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D23,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D24,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D3,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D31,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D32,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D33,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D34,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D35,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D36,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D4,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D41,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D43,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D44,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D45,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D46,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D47,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D48,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D49,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D5,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D51,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D52,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D6,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D61,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D62,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D7,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D71,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D72,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D73,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D74,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D75,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D76,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D8,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D81,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D82,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D83,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D9,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D91,0.746992832,0.746992832,0.746992832,0.746992832,2015
PropWrkPkg,D92,0.746992832,0.746992832,0.746992832,0.746992832,2015
