Value,Area,2005,2015,2038,2050,CostDataYear
FwySev,RVMPO,0,0,0,0,2015
FwyExt,RVMPO,0,0,0,0,2015
ArtSev,RVMPO,0,0,0,0,2015
ArtExt,RVMPO,0,0,0,0,2015
