District,OwnRatio-2005,OwnRatio-2015,OwnRatio-2038,OwnRatio-2050,Threshold-2005,Threshold-2015,Threshold-2038,Threshold-2050,PropSuitable-2005,PropSuitable-2015,PropSuitable-2038,PropSuitable-2050
91,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
92,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
93,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
94,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
95,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
96,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
97,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
98,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
99,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
100,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
101,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
102,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
103,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
104,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
105,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
106,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
107,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
108,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
109,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
110,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
111,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
112,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
113,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
114,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
115,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
116,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
117,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
118,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
119,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
120,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
121,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
122,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
123,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
124,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
125,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
126,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
127,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
128,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
129,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
130,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
131,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
132,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
133,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
134,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
135,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
136,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
137,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
138,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
139,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
140,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
141,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
142,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
143,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
144,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
145,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
146,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
147,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
148,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
149,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
150,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
151,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
152,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
153,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
154,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
155,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
156,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
157,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
158,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
159,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
160,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
161,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
162,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
163,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
164,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
165,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
166,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
167,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
168,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
169,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
170,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
171,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
172,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
173,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
174,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
175,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
176,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
177,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
178,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
179,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
180,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
181,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
182,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
183,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
184,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
185,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
186,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
187,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
188,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
189,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
190,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
191,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
192,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
193,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
194,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
195,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
196,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
197,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
198,1,1,1,1,4,4,4,4,0.01,0.01,0.01,0.04
