District,Type,A24,A5P,MH,SFA,SFD,GQ
CT1,Metropolitan,0,225,0,0,0,0
CT2,Metropolitan,0,0,0,0,0,0
CT3,Metropolitan,0,105,0,0,0,0
CT4,Metropolitan,0,0,0,0,0,0
CT5,Metropolitan,0,0,0,0,0,0
CT6,Metropolitan,0,141,0,0,0,0
CT7,Metropolitan,0,1152,0,52,0,0
CT8,Metropolitan,0,0,0,0,0,0
CT9,Metropolitan,0,526,0,0,0,0
CT10,Metropolitan,0,300,0,66,0,0
CT11,Metropolitan,0,253,0,0,0,0
CT12,Metropolitan,0,0,0,0,0,0
CT13,Metropolitan,0,0,0,0,0,0
CT14,Metropolitan,0,79,0,0,0,0
CT15,Metropolitan,0,156,0,0,0,0
CT16,Metropolitan,0,0,0,0,0,0
CT17,Metropolitan,0,356,0,596,1441,0
CT18,Metropolitan,0,2066,0,0,4102,0
CT19,Metropolitan,0,396,0,0,413,0
CT20,Metropolitan,0,2056,0,104,2440,0
CT21,Metropolitan,0,9017,0,639,4483,0
CT22,Metropolitan,0,4576,0,310,1151,0
CT23,Metropolitan,0,921,0,0,0,0
CT24,Metropolitan,0,1586,0,0,363,0
CT25,Metropolitan,0,438,0,0,151,0
CT26,Metropolitan,0,995,0,552,1067,0
CT27,Metropolitan,0,808,0,796,490,0
CT28,Metropolitan,0,736,0,0,225,0
CT29,Metropolitan,0,0,0,0,0,0
CT30,Metropolitan,0,1025,0,0,1534,0
CT31,Metropolitan,0,339,0,0,0,0
CT32,Metropolitan,0,565,0,0,177,0
CT33,Metropolitan,0,772,156,0,232,0
CT34,Metropolitan,0,809,0,0,3508,0
CT35,Metropolitan,0,674,0,0,2096,0
CT36,Metropolitan,0,993,0,285,2586,0
CT37,Metropolitan,0,3187,0,0,4787,0
CT38,Metropolitan,0,257,0,268,3677,0
CT39,Metropolitan,0,3254,0,0,1497,0
CT40,Metropolitan,0,968,0,0,995,0
CT41,Metropolitan,0,563,0,0,1125,0
CT42,Metropolitan,0,0,0,115,1473,0
CT43,Metropolitan,0,3115,0,412,2011,0
CT44,Metropolitan,0,962,0,0,489,0
CT45,Metropolitan,0,2164,0,0,2160,0
CT46,Metropolitan,0,82,0,167,1138,0
CT47,Metropolitan,0,2924,0,0,3388,0
CT48,Metropolitan,0,1228,0,0,1320,0
CT49,Metropolitan,0,3294,0,295,4424,0
CT50,Metropolitan,0,173,0,202,3683,0
CT51,Metropolitan,0,1154,0,424,3313,0
CT52,Metropolitan,0,3221,0,0,3771,0
CT53,Metropolitan,0,7334,130,1050,7240,0
CT54,Metropolitan,0,2268,0,0,1471,0
CT55,Metropolitan,0,6902,0,56,3860,0
CT56,Metropolitan,0,2701,0,79,3428,0
CT57,Metropolitan,0,713,0,106,1768,0
CT58,Metropolitan,0,638,0,0,2421,0
CT59,Metropolitan,0,1703,0,1216,5388,0
CT60,Metropolitan,0,2705,0,171,2047,0
CT61,Metropolitan,0,115,0,0,1400,0
CT62,Metropolitan,0,0,0,0,831,0
CT63,Metropolitan,0,0,0,0,472,0
CT64,Metropolitan,0,1111,0,238,1873,0
CT65,Metropolitan,0,466,0,676,1889,0
CT66,Metropolitan,0,1092,0,605,841,0
CT67,Metropolitan,0,0,0,0,524,0
CT68,Metropolitan,0,1872,0,125,1039,0
CT69,Metropolitan,0,1375,0,508,136,0
CT70,Metropolitan,0,2177,0,88,337,0
CT71,Metropolitan,0,0,0,0,98,0
CT72,Metropolitan,0,0,0,0,2267,0
CT73,Metropolitan,0,0,0,0,1804,0
CT74,Metropolitan,0,0,0,354,727,0
CT75,Metropolitan,0,279,0,0,1305,0
CT76,Metropolitan,0,504,0,0,1113,0
CT77,Metropolitan,0,0,0,0,1134,0
CT78,Metropolitan,0,0,0,0,1502,0
CT79,Metropolitan,0,0,0,0,0,0
CT80,Metropolitan,0,0,0,0,0,0
CT81,Metropolitan,0,339,0,186,1101,0
CT82,Metropolitan,0,80,0,0,192,0
CT83,Metropolitan,0,619,0,0,192,0
CT84,Metropolitan,0,733,0,0,1404,0
CT85,Metropolitan,0,0,0,0,475,0
CT86,Metropolitan,0,0,0,391,3697,0
CT87,Metropolitan,0,0,0,0,2563,0
CT88,Metropolitan,0,546,0,703,1266,0
CT89,Metropolitan,0,615,0,454,457,0
CT90,Metropolitan,0,0,0,0,2102,0
CT91,Metropolitan,0,0,0,0,449,0
CT92,Metropolitan,0,533,0,0,472,0
CT93,Metropolitan,0,0,0,0,1544,0
CT94,Metropolitan,0,0,0,363,2133,0
CT95,Metropolitan,0,0,0,0,978,0
CT96,Metropolitan,0,0,0,0,121,0
CT97,Metropolitan,0,354,0,0,1137,0
CT98,Metropolitan,0,0,0,180,1195,0
CT99,Metropolitan,0,0,0,0,2721,0
CT100,Metropolitan,0,0,0,0,986,0
CT101,Metropolitan,0,438,0,0,1066,0
CT102,Metropolitan,0,323,0,0,2196,0
CT103,Metropolitan,0,0,0,88,964,0
CT104,Metropolitan,0,0,0,0,0,0
CT105,Metropolitan,0,0,0,333,1781,0
CT106,Metropolitan,0,0,0,0,0,0
CT107,Metropolitan,0,0,0,0,1066,0
CT108,Metropolitan,0,0,0,0,0,0
CT109,Metropolitan,0,369,0,297,2075,0
CT110,Metropolitan,0,0,0,0,0,0
CT111,Metropolitan,0,683,0,228,535,0
CT112,Metropolitan,0,138,0,0,1317,0
CT113,Metropolitan,0,0,0,0,1959,0
CT114,Metropolitan,0,0,0,0,0,0
CT115,Metropolitan,0,0,0,0,1068,0
CT116,Metropolitan,0,229,0,0,2041,0
CT117,Metropolitan,0,0,0,0,804,0
CT118,Metropolitan,0,0,0,0,0,0
CT119,Metropolitan,0,0,0,0,0,0
CT120,Metropolitan,0,0,0,0,1418,0
CT121,Metropolitan,0,0,0,0,0,0
CT122,Metropolitan,0,0,0,0,0,0
CT123,Metropolitan,0,0,0,0,427,0
CT124,Metropolitan,0,0,0,0,518,0
CT125,Metropolitan,0,0,0,0,0,0
CT126,Metropolitan,0,0,0,0,674,0
CT127,Metropolitan,0,0,0,114,1290,0
CT128,Metropolitan,0,0,0,97,8873,0
CT129,Metropolitan,0,98,0,0,121,0
CT130,Metropolitan,0,0,0,0,467,0
CT131,Metropolitan,0,0,0,0,0,0
CT132,Metropolitan,0,275,0,0,1682,0
CT133,Metropolitan,0,0,0,0,1517,0
CT134,Metropolitan,0,503,0,0,0,0
CT135,Metropolitan,0,69,0,0,1164,0
CT136,Metropolitan,0,0,0,0,1603,0
CT137,Metropolitan,0,0,0,365,1689,0
CT138,Metropolitan,0,0,0,0,1340,0
CT139,Metropolitan,0,198,0,0,856,0
CT140,Metropolitan,0,0,0,0,0,0
CT141,Metropolitan,0,1003,0,0,0,0
CT142,Metropolitan,0,772,0,0,1132,0
CT143,Metropolitan,0,138,0,0,3304,0
CT144,Metropolitan,0,888,0,248,3508,0
CT145,Metropolitan,0,657,0,0,2258,0
CT146,Metropolitan,0,171,0,238,7137,0
CT147,Metropolitan,0,0,0,0,1137,0
CT148,Metropolitan,0,0,0,173,1379,0
CT149,Metropolitan,0,0,0,0,2625,0
CT150,Metropolitan,0,0,0,228,1931,0
CT151,Metropolitan,0,0,0,0,955,0
CT152,Metropolitan,0,0,0,0,950,0
CT153,Metropolitan,0,249,0,457,2897,0
CT154,Metropolitan,0,0,0,375,732,0
CT155,Metropolitan,0,0,0,0,0,0
CT156,Metropolitan,0,746,0,0,978,0
CT157,Metropolitan,0,0,0,0,2203,0
CT158,Metropolitan,0,386,0,0,1034,0
CT159,Metropolitan,0,0,0,0,1725,0
CT160,Metropolitan,0,0,0,0,0,0
CT161,Metropolitan,0,0,0,0,271,0
CT162,Metropolitan,0,0,0,0,122,0
CT163,Metropolitan,0,0,0,0,0,0
CT164,Metropolitan,0,0,0,0,0,0
CT165,Metropolitan,0,0,0,0,0,0
CT166,Metropolitan,0,0,0,176,653,0
CT167,Metropolitan,0,0,0,0,176,0
CT168,Metropolitan,0,1872,0,0,2033,0
CT169,Metropolitan,0,0,0,191,0,0
CT170,Metropolitan,0,0,0,0,0,0
CT171,Metropolitan,0,0,0,0,637,0
CT172,Metropolitan,0,0,0,0,299,0
CT173,Metropolitan,0,0,0,0,891,0
CT174,Metropolitan,0,0,0,351,226,0
CT175,Metropolitan,0,0,0,0,120,0
CT176,Metropolitan,0,0,0,0,884,0
CT177,Metropolitan,0,0,0,0,311,0
CT178,Metropolitan,0,0,0,0,0,0
CT179,Metropolitan,0,0,0,0,0,0
CT180,Metropolitan,0,0,0,0,269,0
CT181,Metropolitan,0,0,0,0,62,0
CT182,Metropolitan,0,0,0,0,117,0
CT183,Metropolitan,0,0,0,0,329,0
CT184,Metropolitan,0,0,0,0,0,0
CT185,Metropolitan,0,0,0,125,0,0
CT186,Metropolitan,0,0,0,0,0,0
CT187,Metropolitan,0,0,0,0,294,0
CT188,Metropolitan,0,0,0,354,1369,0
CT189,Metropolitan,0,0,0,0,1622,0
CT190,Metropolitan,0,503,0,0,982,0
CT191,Metropolitan,0,525,0,156,617,0
CT192,Metropolitan,0,576,0,0,1520,0
