District,Type,A24,A5P,MH,SFA,SFD,GQ
1,Metropolitan,0,360,0,0,0,0
1,Rural,0,0,0,0,0,0
1,Town,0,0,0,0,0,0
2,Metropolitan,0,0,0,0,1,0
2,Rural,0,0,0,0,0,0
2,Town,0,0,0,0,0,0
3,Metropolitan,0,168,0,0,0,0
3,Rural,0,0,0,0,0,0
3,Town,0,0,0,0,0,0
4,Metropolitan,0,0,0,0,1,0
4,Rural,0,0,0,0,0,0
4,Town,0,0,0,0,0,0
5,Metropolitan,0,0,0,0,1,0
5,Rural,0,0,0,0,0,0
5,Town,0,0,0,0,0,0
6,Metropolitan,0,226,0,0,0,0
6,Rural,0,0,0,0,0,0
6,Town,0,0,0,0,0,0
7,Metropolitan,0,1843,0,83,0,0
7,Rural,0,0,0,0,0,0
7,Town,0,0,0,0,0,0
8,Metropolitan,0,0,0,0,1,0
8,Rural,0,0,0,0,0,0
8,Town,0,0,0,0,0,0
9,Metropolitan,0,842,0,0,0,0
9,Rural,0,0,0,0,0,0
9,Town,0,0,0,0,0,0
10,Metropolitan,0,480,0,106,0,0
10,Rural,0,0,0,0,0,0
10,Town,0,0,0,0,0,0
11,Metropolitan,0,405,0,0,0,0
11,Rural,0,0,0,0,0,0
11,Town,0,0,0,0,0,0
12,Metropolitan,0,0,0,0,1,0
12,Rural,0,0,0,0,0,0
12,Town,0,0,0,0,0,0
13,Metropolitan,0,0,0,0,1,0
13,Rural,0,0,0,0,0,0
13,Town,0,0,0,0,0,0
14,Metropolitan,0,126,0,0,0,0
14,Rural,0,0,0,0,0,0
14,Town,0,0,0,0,0,0
15,Metropolitan,0,250,0,0,0,0
15,Rural,0,0,0,0,0,0
15,Town,0,0,0,0,0,0
16,Metropolitan,0,0,0,0,1,0
16,Rural,0,0,0,0,0,0
16,Town,0,0,0,0,0,0
17,Metropolitan,0,570,0,954,2306,0
17,Rural,0,0,0,0,0,0
17,Town,0,0,0,0,0,0
18,Metropolitan,0,3306,0,0,6563,0
18,Rural,0,0,0,0,0,0
18,Town,0,0,0,0,0,0
19,Metropolitan,0,634,0,0,661,0
19,Rural,0,0,0,0,0,0
19,Town,0,0,0,0,0,0
20,Metropolitan,0,3290,0,166,3904,0
20,Rural,0,0,0,0,0,0
20,Town,0,0,0,0,0,0
21,Metropolitan,0,14427,0,1022,7173,0
21,Rural,0,0,0,0,0,0
21,Town,0,0,0,0,0,0
22,Metropolitan,0,7322,0,496,1842,0
22,Rural,0,0,0,0,0,0
22,Town,0,0,0,0,0,0
23,Metropolitan,0,1474,0,0,0,0
23,Rural,0,0,0,0,0,0
23,Town,0,0,0,0,0,0
24,Metropolitan,0,2538,0,0,581,0
24,Rural,0,0,0,0,0,0
24,Town,0,0,0,0,0,0
25,Metropolitan,0,701,0,0,242,0
25,Rural,0,0,0,0,0,0
25,Town,0,0,0,0,0,0
26,Metropolitan,0,1592,0,883,1707,0
26,Rural,0,0,0,0,0,0
26,Town,0,0,0,0,0,0
27,Metropolitan,0,1293,0,1274,784,0
27,Rural,0,0,0,0,0,0
27,Town,0,0,0,0,0,0
28,Metropolitan,0,1178,0,0,360,0
28,Rural,0,0,0,0,0,0
28,Town,0,0,0,0,0,0
29,Metropolitan,0,0,0,0,1,0
29,Rural,0,0,0,0,0,0
29,Town,0,0,0,0,0,0
30,Metropolitan,0,1640,0,0,2454,0
30,Rural,0,0,0,0,0,0
30,Town,0,0,0,0,0,0
31,Metropolitan,0,542,0,0,0,0
31,Rural,0,0,0,0,0,0
31,Town,0,0,0,0,0,0
32,Metropolitan,0,904,0,0,283,0
32,Rural,0,0,0,0,0,0
32,Town,0,0,0,0,0,0
33,Metropolitan,0,1235,250,0,371,0
33,Rural,0,0,0,0,0,0
33,Town,0,0,0,0,0,0
34,Metropolitan,0,1294,0,0,5613,0
34,Rural,0,0,0,0,0,0
34,Town,0,0,0,0,0,0
35,Metropolitan,0,1078,0,0,3354,0
35,Rural,0,0,0,0,0,0
35,Town,0,0,0,0,0,0
36,Metropolitan,0,1589,0,456,4138,0
36,Rural,0,0,0,0,0,0
36,Town,0,0,0,0,0,0
37,Metropolitan,0,5099,0,0,7659,0
37,Rural,0,0,0,0,0,0
37,Town,0,0,0,0,0,0
38,Metropolitan,0,411,0,429,5883,0
38,Rural,0,0,0,0,0,0
38,Town,0,0,0,0,0,0
39,Metropolitan,0,5206,0,0,2395,0
39,Rural,0,0,0,0,0,0
39,Town,0,0,0,0,0,0
40,Metropolitan,0,1549,0,0,1592,0
40,Rural,0,0,0,0,0,0
40,Town,0,0,0,0,0,0
41,Metropolitan,0,901,0,0,1800,0
41,Rural,0,0,0,0,0,0
41,Town,0,0,0,0,0,0
42,Metropolitan,0,0,0,184,2357,0
42,Rural,0,0,0,0,0,0
42,Town,0,0,0,0,0,0
43,Metropolitan,0,4984,0,659,3218,0
43,Rural,0,0,0,0,0,0
43,Town,0,0,0,0,0,0
44,Metropolitan,0,1539,0,0,782,0
44,Rural,0,0,0,0,0,0
44,Town,0,0,0,0,0,0
45,Metropolitan,0,3462,0,0,3456,0
