District,Type,A24,A5P,MH,SFA,SFD,GQ
01_01_EP_NW,Metropolitan,115,55,175,274,1174,0
01_01_EP_NW,Rural,3,1,82,11,329,0
01_01_EP_NW,Town,0,0,0,0,0,0
02_02_WC_Ctr,Metropolitan,55,8,757,68,957,0
02_02_WC_Ctr,Rural,7,9,109,5,130,0
02_02_WC_Ctr,Town,0,0,0,0,0,0
03_03_CP_W,Metropolitan,20,185,74,138,1546,0
03_03_CP_W,Rural,0,0,164,0,433,0
03_03_CP_W,Town,0,0,0,0,0,0
04_04_JACK,Metropolitan,18,46,214,0,697,0
04_04_JACK,Rural,0,6,162,8,1123,0
04_04_JACK,Town,0,0,0,0,0,0
05_05_WMED_NE,Metropolitan,260,604,275,115,1207,0
05_05_WMED_NE,Rural,0,0,0,0,0,0
05_05_WMED_NE,Town,0,0,0,0,0,0
06_06_EMED_NE,Metropolitan,0,0,0,0,0,0
06_06_EMED_NE,Rural,0,0,71,0,1014,0
06_06_EMED_NE,Town,0,0,0,0,0,0
07_07_PHX_Ctr,Metropolitan,382,414,1409,94,928,0
07_07_PHX_Ctr,Rural,1,0,14,0,255,0
07_07_PHX_Ctr,Town,0,0,0,0,0,0
08_08_TAL_Ctr,Metropolitan,305,262,512,180,1405,0
08_08_TAL_Ctr,Rural,22,20,69,8,213,0
08_08_TAL_Ctr,Town,0,0,0,0,0,0
09_09_ASH_N,Metropolitan,69,176,55,93,1312,0
09_09_ASH_N,Rural,0,1,6,0,55,0
09_09_ASH_N,Town,0,0,0,0,0,0
10_10_TOLO,Metropolitan,0,0,1,0,2,0
10_10_TOLO,Rural,0,0,197,0,375,0
10_10_TOLO,Town,0,0,0,0,0,0
11_11_NMED_N,Metropolitan,273,152,37,117,808,0
11_11_NMED_N,Rural,12,8,47,7,95,0
11_11_NMED_N,Town,0,0,0,0,0,0
09_12_ASH_Ctr,Metropolitan,429,483,0,177,1191,1117
09_12_ASH_Ctr,Rural,5,6,0,1,6,0
09_12_ASH_Ctr,Town,0,0,0,0,0,0
03_13_CP_E,Metropolitan,5,0,133,24,658,0
03_13_CP_E,Rural,1,0,175,12,497,0
03_13_CP_E,Town,0,0,0,0,0,0
05_14_WMED_SE,Metropolitan,27,20,270,40,1251,0
05_14_WMED_SE,Rural,2,4,39,4,83,0
05_14_WMED_SE,Town,0,0,0,0,0,0
05_15_WMED_E,Metropolitan,431,469,90,241,1070,0
05_15_WMED_E,Rural,0,0,0,0,0,0
05_15_WMED_E,Town,0,0,0,0,0,0
06_16_EMED_NW,Metropolitan,581,1156,0,189,1224,0
06_16_EMED_NW,Rural,0,0,0,0,0,0
06_16_EMED_NW,Town,0,0,0,0,0,0
06_17_EMED_SW,Metropolitan,308,905,0,322,1045,0
06_17_EMED_SW,Rural,0,1,0,1,0,0
06_17_EMED_SW,Town,0,0,0,0,0,0
11_18_NMED_SW,Metropolitan,452,712,0,128,785,0
11_18_NMED_SW,Rural,0,0,0,0,0,0
11_18_NMED_SW,Town,0,0,0,0,0,0
09_19_ASH_SW,Metropolitan,122,179,6,63,1564,0
09_19_ASH_SW,Rural,8,9,3,1,94,0
09_19_ASH_SW,Town,0,0,0,0,0,0
06_20_EMED_N,Metropolitan,71,67,0,49,2198,0
06_20_EMED_N,Rural,0,0,0,0,0,0
06_20_EMED_N,Town,0,0,0,0,0,0
01_21_EP_SE,Metropolitan,55,71,169,41,770,0
01_21_EP_SE,Rural,24,32,108,17,422,0
01_21_EP_SE,Town,0,0,0,0,0,0
02_22_WC_S,Metropolitan,0,0,183,9,311,0
02_22_WC_S,Rural,0,0,286,3,548,0
02_22_WC_S,Town,0,0,0,0,0,0
06_23_EMED_Ctr,Metropolitan,0,127,0,79,830,0
06_23_EMED_Ctr,Rural,0,0,0,0,0,0
06_23_EMED_Ctr,Town,0,0,0,0,0,0
03_24_CP_N,Metropolitan,148,142,19,86,1138,0
03_24_CP_N,Rural,0,0,1,1,36,0
03_24_CP_N,Town,0,0,0,0,0,0
03_25_CP_S,Metropolitan,148,87,153,226,1709,0
03_25_CP_S,Rural,0,0,0,0,0,0
03_25_CP_S,Town,0,0,0,0,0,0
05_26_WMED_NW,Metropolitan,77,84,119,28,527,0
05_26_WMED_NW,Rural,31,70,136,9,775,0
05_26_WMED_NW,Town,0,0,0,0,0,0
05_27_WMED_Ctr,Metropolitan,137,116,263,27,959,0
05_27_WMED_Ctr,Rural,0,0,0,0,0,0
05_27_WMED_Ctr,Town,0,0,0,0,0,0
