Value,Area,2005,2010,2038,2050,CostDataYear
FwySev,RVMPO,0,0,0,0,2005
FwyExt,RVMPO,0,0,0,0,2005
ArtSev,RVMPO,0,0,0,0,2005
ArtExt,RVMPO,0,0,0,0,2005
