Division,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
D1,35026,10093,18422,67189,15770,13034
D2,23257,5607,14119,40202,12718,10813
D3,15302,4497,14528,36482,13786,12890
D4,7381,1139,17433,29256,8545,10859
D5,12413,3896,9860,19330,7543,10121
D6,7281,1897,17987,33241,7731,6741
D7,20385,5912,11643,30602,10059,10058
D8,1273,328,2348,4039,956,876
D9,18284,4704,10251,23295,7452,6603
D10,11884,3194,6061,18251,5807,4905
D11,15185,4041,8482,21154,6488,5552
D12,21263,6097,10829,29525,9116,8214
D15,4472,1419,2479,7606,2514,2689
D16,2042,682,1180,3446,1104,1244
D17,20625,6787,11332,35537,11639,12259
D18,21953,7295,11564,37683,12141,12141
D21,2356,703,1663,3884,1093,1074
D22,23425,6807,13889,32141,8409,7849
D23,18240,6169,10394,28248,9152,6721
D24,17851,5870,9821,29307,10142,6756
D31,35192,13177,18410,65509,20486,18096
D32,29272,13094,13821,56193,29505,19276
D33,18277,6645,8643,30853,8963,8218
D34,14347,3822,9942,22975,6515,8810
D35,19300,4579,25038,42410,11605,14825
D36,27825,7466,14407,46378,12019,13784
D41,30224,5217,20682,53275,13326,15639
D43,8220,1638,12783,23622,7816,9105
D44,26991,6814,18529,48623,15588,17118
D45,4779,1268,4811,9721,3084,3780
D46,2666,597,3508,6554,2012,2362
D47,20180,5258,11816,31740,11095,9319
D48,27855,9642,14611,46147,15745,9585
D49,25183,7959,13644,41185,13548,8373
D51,14000,4590,8008,23475,7575,7378
D52,14772,4920,9717,25161,8392,8675
D61,11065,4688,5494,19792,7991,8176
D62,9882,4157,5097,18039,7742,7928
D71,43146,14700,20515,75734,20157,18677
D72,50316,16686,30849,86547,24892,19137
D73,22317,7512,10674,37989,9798,9316
D74,33189,10414,21283,50337,15321,12020
D75,15779,5512,10423,28928,11090,8989
D76,23669,9995,11212,41143,15212,11121
D81,13260,5744,7830,23838,7403,7069
D82,10995,4738,6317,19719,5974,5670
D83,20494,8809,12139,35911,11057,10714
D91,9057,3105,4635,14708,5220,5058
D92,9768,3547,5910,15980,5528,6002
D101,8762,2831,5422,14471,4739,5193
D102,7205,2266,4329,11562,3675,4033
D111,4346,1439,2699,7186,2212,2258
D112,2849,941,1607,4743,1467,1416
D113,4772,1579,2671,7461,2097,2028
D114,11529,3845,7179,19930,6404,6411
D121,7045,2220,4717,10827,3428,3601
D122,3671,1111,2643,5815,1985,2062
D123,11369,3604,7729,18628,6211,6442
D124,2164,675,1408,3192,1028,1167
D131,5203,2000,3438,8968,3452,4024
D132,15379,6255,9422,28191,11099,12366
D133,2145,873,1564,3605,1379,1811
D134,3660,1459,2267,6514,2488,2989
D141,10367,3204,5272,17086,4734,5268
D142,22141,7072,11017,38065,10896,11448
D143,13852,4383,5592,23262,6123,5858
D151,8014,2585,4946,12599,4239,5108
D152,22653,6773,12213,28946,8707,10900
D153,14344,4734,8592,23233,7929,9047
D163,18993,6933,11766,31377,10731,11719
D164,2898,1012,1627,4702,1660,1710
D171,7047,2417,3844,12451,3791,3359
D172,3499,1198,2229,6175,1941,1894
D173,21321,7454,12688,36757,10522,10042
D181,7520,2650,4982,11411,4120,5133
D182,5045,2034,3695,9714,4047,4794
D191,9942,3165,5643,16334,5172,5496
D192,8586,2754,5252,14057,4789,5238
